No, Arrival time, AE channel, Amplitude, Counts, Duration, Energy, Rise counts, Rise Time
       1,20:17:22:31:473:579200, 1,     97.3,      98,     2935,      14.766,       2,     10.0
       2,20:17:22:31:473:618600, 2,     66.6,     114,     2212,       0.041,      12,     85.0
       3,20:17:22:31:473:628200, 7,     58.6,      65,      751,       0.003,      10,     80.0
       4,20:17:22:31:473:635500, 3,     64.4,     149,     2705,       0.025,      23,    347.0
       5,20:17:22:31:473:639200, 8,     62.9,     134,     2456,       0.018,      30,    433.0
       6,20:17:22:31:473:643400, 5,     63.6,     121,     2686,       0.028,      39,    531.0
       7,20:17:22:31:473:671600, 4,     59.3,      75,     1414,       0.004,      14,    163.0
       8,20:17:22:31:473:696200, 6,     62.2,      87,     2109,       0.024,      24,    308.0
       9,20:17:22:31:923:579100, 1,     97.5,      99,     2935,      14.789,       2,     10.0
      10,20:17:22:31:923:618400, 2,     66.6,     100,     2212,       0.041,      12,     85.0
      11,20:17:22:31:923:635500, 3,     64.5,     143,     2705,       0.025,      22,    347.0
      12,20:17:22:31:923:639200, 8,     62.9,     127,     2456,       0.018,      28,    433.0
      13,20:17:22:31:923:643100, 5,     63.6,     130,     2660,       0.028,      39,    531.0
      14,20:17:22:31:923:643700, 4,     57.6,      63,     1454,       0.004,      12,    202.0
      15,20:17:22:31:923:650400, 7,     57.5,      60,      665,       0.003,       8,     61.0
      16,20:17:22:31:923:696100, 6,     62.2,      87,     2109,       0.024,      24,    307.0
      17,20:17:22:32:373:579000, 1,     97.6,     105,     2908,      14.789,       2,     10.0
      18,20:17:22:32:373:618400, 2,     66.6,     109,     2212,       0.041,      12,     84.0
      19,20:17:22:32:373:635400, 3,     64.5,     140,     2705,       0.025,      23,    347.0
      20,20:17:22:32:373:639500, 8,     62.8,     127,     2483,       0.018,      29,    433.0
      21,20:17:22:32:373:643100, 5,     63.6,     124,     2660,       0.028,      38,    532.0
      22,20:17:22:32:373:650300, 7,     57.5,      60,      665,       0.003,       8,     61.0
      23,20:17:22:32:373:671600, 4,     59.2,      69,     1413,       0.004,      15,    163.0
      24,20:17:22:32:373:696000, 6,     62.2,      84,     2109,       0.024,      23,    307.0
      25,20:17:22:32:823:578900, 1,     97.6,      98,     2936,      14.789,       2,     11.0
